event,jd,magnitude,magnitude error,upper limit,band,xxxxxxx,telescope,instrument
SN2005cf,2453528.14,13.944,0.001,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453529.24,13.822,0.002,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453530.38,13.71,0.012,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453530.38,13.753,0.003,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.12,13.695,0.004,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.48,13.629,0.013,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453532.19,13.628,0.004,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.13,13.618,0.004,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.5,13.592,0.012,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453533.99,13.525,0.002,F,V,,2.3m SSO,imager
SN2005cf,2453536.47,13.501,0.022,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453538.19,13.606,0.005,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453538.36,13.581,0.023,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453539.21,13.641,0.008,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453539.37,13.616,0.022,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453540.13,13.664,0.01,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453540.41,13.656,0.021,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453541.37,13.713,0.02,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453542.26,13.743,0.016,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453542.53,13.724,0.019,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453543.14,13.781,0.018,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453543.51,13.694,0.033,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453545.13,13.915,0.023,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.3,13.974,0.025,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.36,13.921,0.012,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453546.43,13.937,0.003,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453546.5,13.879,0.036,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453547.45,13.996,0.01,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453548.4,13.99,0.009,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453550.37,14.164,0.005,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453551.48,14.169,0.036,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453553.37,14.333,0.001,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453554.37,14.356,0.003,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453555.47,14.385,0.034,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453558.48,14.558,0.032,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453559.19,14.68,0.02,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453559.49,14.593,0.021,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453562.48,14.763,0.031,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453563.24,14.889,0.015,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453563.37,14.85,0.011,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.37,14.923,0.011,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.5,14.902,0.031,F,V,,1.2m Mercator,MEROPE
SN2005cf,2453566.41,15.066,0.024,F,V,,1.82m Copernico,AFOSC
SN2005cf,2453569.57,15.179,0.056,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453571.6,15.298,0.054,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453572.21,15.43,0.009,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453573.55,15.384,0.051,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453575.2,15.546,0.008,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453575.51,15.471,0.048,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453578.55,15.574,0.043,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453581.61,15.659,0.039,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453583.41,15.755,0.016,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453584.2,15.823,0.01,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.14,15.881,0.012,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.56,15.873,0.033,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453590.56,15.929,0.031,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453591.13,16.006,0.015,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453595.5,16.075,0.028,F,V,,2.2m ESO/MPI,WFI
SN2005cf,2453598.38,16.172,0.014,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453604.15,16.368,0.02,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453611.38,16.475,0.008,F,V,,2.2m Calar Alto,CAFOS
SN2005cf,2453613.37,16.519,0.008,F,V,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453615.14,16.618,0.02,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453617.1,16.674,0.02,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453621.11,16.798,0.02,F,V,,2m Himalayan Chandra,HFOSC
SN2005cf,2453521.9,15.142,0.004,F,R,,SSO 40,WFI
SN2005cf,2453522.38,14.973,0.003,F,R,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453522.97,14.785,0.005,F,R,,SSO 40,WFI
SN2005cf,2453523.16,14.769,0.002,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.13,14.466,0.001,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.44,14.377,0.006,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453524.97,14.241,0.005,F,R,,SSO 40,WFI
SN2005cf,2453525.25,14.224,0,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453526.35,14.009,0.002,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453527.57,13.823,0.001,F,R,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453527.95,13.736,0.006,F,R,,SSO 40,WFI
SN2005cf,2453528.14,13.792,0.004,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453529.24,13.68,0.005,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453530.38,13.544,0.012,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453530.38,13.617,0.007,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.12,13.597,0.007,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.52,13.501,0.013,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453532.19,13.553,0.008,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.13,13.541,0.009,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.5,13.432,0.015,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453533.99,13.462,0.007,F,R,,2.3m SSO,imager
SN2005cf,2453536.47,13.486,0.041,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453538.19,13.558,0.007,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453538.36,13.562,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453539.21,13.583,0.007,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453539.37,13.567,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453540.13,13.625,0.006,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453540.41,13.607,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453541.37,13.653,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453542.26,13.742,0.003,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453542.53,13.695,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453543.14,13.814,0.001,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453543.51,13.764,0.028,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453545.13,13.906,0.001,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.3,14.031,0.002,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453546.36,13.974,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453546.43,13.95,0.022,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453546.5,13.986,0.018,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453547.45,14.06,0.004,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453548.4,14.105,0.005,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453550.37,14.17,0.005,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453551.48,14.143,0.005,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453553.37,14.24,0.006,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453554.37,14.219,0.007,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453555.47,14.196,0.005,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453558.48,14.287,0.004,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453559.19,14.331,0.011,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453559.49,14.28,0.007,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453562.48,14.402,0.001,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453563.24,14.495,0.018,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453563.37,14.459,0.01,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.37,14.515,0.01,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453564.5,14.492,0.004,F,R,,1.2m Mercator,MEROPE
SN2005cf,2453566.41,14.633,0.019,F,R,,1.82m Copernico,AFOSC
SN2005cf,2453569.57,14.863,0.027,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453571.6,14.977,0.029,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453572.21,15.071,0.023,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453573.55,15.097,0.032,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453575.2,15.204,0.023,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453575.51,15.193,0.034,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453578.55,15.327,0.038,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453581.61,15.417,0.042,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453583.41,15.443,0.011,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453584.2,15.543,0.02,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.14,15.66,0.018,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453587.56,15.619,0.044,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453590.56,15.733,0.044,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453591.13,15.763,0.016,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453595.5,15.868,0.043,F,R,,2.2m ESO/MPI,WFI
SN2005cf,2453597.1,15.978,0.012,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453598.38,15.943,0.018,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453604.15,16.173,0.008,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453611.38,16.372,0.001,F,R,,2.2m Calar Alto,CAFOS
SN2005cf,2453613.37,16.385,0.02,F,R,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453615.14,16.525,0.001,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453617.1,16.552,0.003,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453621.11,16.695,0.007,F,R,,2m Himalayan Chandra,HFOSC
SN2005cf,2453521.9,15.191,0.014,F,I,,SSO 40,WFI
SN2005cf,2453522.38,14.952,0.047,F,I,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453522.97,14.819,0.014,F,I,,SSO 40,WFI
SN2005cf,2453523.16,14.759,0.03,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.13,14.472,0.029,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453524.44,14.449,0.011,F,I,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453524.97,14.282,0.013,F,I,,SSO 40,WFI
SN2005cf,2453525.25,14.214,0.028,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453526.35,14.007,0.028,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453527.57,13.831,0.035,F,I,,3.5m Telescopio Nazionale Galileo,DOLORES
SN2005cf,2453527.95,13.816,0.014,F,I,,SSO 40,WFI
SN2005cf,2453528.14,13.822,0.027,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453529.24,13.758,0.027,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453530.38,13.726,0.029,F,I,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453530.38,13.719,0.026,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.12,13.688,0.025,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453531.48,13.737,0.034,F,I,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453532.19,13.689,0.025,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.13,13.696,0.024,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453533.5,13.706,0.042,F,I,, 2.5m Nordic Optical Telescope,ALFOSC
SN2005cf,2453533.99,13.748,0.022,F,I,,2.3m SSO,imager
SN2005cf,2453536.47,13.99,0.184,F,I,,1.2m Mercator,MEROPE
SN2005cf,2453538.19,13.831,0.031,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453538.36,13.688,0.158,F,I,,2.2m Calar Alto,CAFOS
SN2005cf,2453539.21,13.864,0.033,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453539.37,13.7,0.164,F,I,,2.2m Calar Alto,CAFOS
SN2005cf,2453540.13,13.931,0.036,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453540.41,13.78,0.172,F,I,,2.2m Calar Alto,CAFOS
SN2005cf,2453541.37,13.828,0.18,F,I,,2.2m Calar Alto,CAFOS
SN2005cf,2453542.26,14.03,0.041,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453542.53,13.885,0.189,F,I,,2.2m Calar Alto,CAFOS
SN2005cf,2453543.14,14.083,0.043,F,I,,2m Himalayan Chandra,HFOSC
SN2005cf,2453543.51,14.432,0.254,F,I,,1.2m Mercator,MEROPE
SN2005cf,2453545.13,14.212,0.047,F,I,,2m Himalayan Chandra,HFOSC
